module	gene	display_label	evidence_basis	public_source_id	public_source_url
Mast_identity_granule_storage	KIT	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	FCER1A	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	MS4A2	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	FCER1G	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	TPSAB1	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	TPSB2	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	CPA3	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	CMA1	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	HDC	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
Mast_identity_granule_storage	SLC18A2	Mast identity / granule content	Mast-cell marker/granule genes; NAKAJIMA_MAST_CELL and mast-cell biology literature	NAKAJIMA_MAST_CELL; mast-cell marker literature	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/NAKAJIMA_MAST_CELL
